ActionGeo_Fullname (52)	ActionGeo_Lat (56)	ActionGeo_Long (57)	Actor1Name (6)	Actor1Geo_Fullname (36)	Actor2Name (16)	Actor2Geo_Fullname (44)	EventCode (26)	QuadClass  (29)	AvgTone (34)	SourceURL (60)
"Montreal, Quebec, Canada"	38.3566	-121.988	CANADA	Iraq	IRAQ	"Montreal, Quebec, Canada"	Praise or endorse	Verbal Cooperation	-0.2183	https://www.insidebelleville.com/whatson-story/7558928-brooklyn-beckham-s-university-fangirls-/
"Central Baptist Church, California, United States"	40.1135	-111.854	UNITED STATES	"Central Baptist Church, California, United States"			Praise or endorse	Verbal Cooperation	-0.2283	http://www.thewesterlysun.com/opinion/columnguest/10872097-154/practicing-faith-donating-to-agencies-is-a-two-way-blessing.html
"Lahore, Punjab, Pakistan"	27.6667	83.9167	CHIEF JUSTICE	"Lahore, Punjab, Pakistan"	PAKISTAN	"Lahore, Punjab, Pakistan"	Provide humanitarian aid	Verbal Conflict	-0.2445	http://nation.com.pk/lahore/16-Sep-2017/court-issues-detailed-verdict
"Lahore, Punjab, Pakistan"	38.3566	-121.988	COUNSEL	"Lahore, Punjab, Pakistan"	LAHORE	"Lahore, Punjab, Pakistan"	"Reject, not specified below"	Verbal Cooperation	-0.2445	http://nation.com.pk/lahore/16-Sep-2017/court-issues-detailed-verdict
"Murree, Punjab, Pakistan"	41.85	-87.6501	JUDGE	"Murree, Punjab, Pakistan"			"Reject, not specified below"	Verbal Cooperation	-0.2445	http://nation.com.pk/lahore/16-Sep-2017/court-issues-detailed-verdict
"Lahore, Punjab, Pakistan"	37.2638	-122.023	JUDGE	"Lahore, Punjab, Pakistan"	PAKISTAN	"Lahore, Punjab, Pakistan"	"Demonstrate or rally, not specified below"	Material Conflict	-0.2445	http://nation.com.pk/lahore/16-Sep-2017/court-issues-detailed-verdict
"Lahore, Punjab, Pakistan"			MUSLIM	"Lahore, Punjab, Pakistan"			"Impose blockade, restrict movement"	Verbal Cooperation	-0.2445	http://nation.com.pk/lahore/16-Sep-2017/court-issues-detailed-verdict
"Lahore, Punjab, Pakistan"	-32.7	152.083	PAKISTAN	"Lahore, Punjab, Pakistan"			Host a visit	Verbal Cooperation	-0.2445	http://nation.com.pk/lahore/16-Sep-2017/court-issues-detailed-verdict
"Lahore, Punjab, Pakistan"	-32.5818	149.568	PAKISTAN	"Lahore, Punjab, Pakistan"			Host a visit	Verbal Cooperation	-0.2445	http://nation.com.pk/lahore/16-Sep-2017/court-issues-detailed-verdict
"Lahore, Punjab, Pakistan"	37.2638	-122.023	PAKISTAN	"Lahore, Punjab, Pakistan"	CHIEF JUSTICE	"Lahore, Punjab, Pakistan"	"Demonstrate or rally, not specified below"	Verbal Cooperation	-0.2445	http://nation.com.pk/lahore/16-Sep-2017/court-issues-detailed-verdict
"Lahore, Punjab, Pakistan"	37.2638	-122.023	PAKISTAN	"Lahore, Punjab, Pakistan"	MUSLIM	"Lahore, Punjab, Pakistan"	"Demonstrate or rally, not specified below"	Verbal Conflict	-0.2445	http://nation.com.pk/lahore/16-Sep-2017/court-issues-detailed-verdict
"Lahore, Punjab, Pakistan"	37.8716	-122.273	PAKISTAN	"Lahore, Punjab, Pakistan"	LAHORE	"Lahore, Punjab, Pakistan"	"Arrest, detain, or charge with legal action"	Verbal Cooperation	-0.2445	http://nation.com.pk/lahore/16-Sep-2017/court-issues-detailed-verdict
Panama			PANAMA	"Lahore, Punjab, Pakistan"			Appeal to others to meet or negotiate	Verbal Cooperation	-0.2445	http://nation.com.pk/lahore/16-Sep-2017/court-issues-detailed-verdict
"Rapid City, South Dakota, United States"			SIOUX	"Rapid City, South Dakota, United States"			Express intent to meet or negotiate	Verbal Conflict	-0.2519	http://www.yankton.net/life/article_0746706c-9a8e-11e7-957f-4364a5eb1d36.html
"Rapid City, South Dakota, United States"			SOUTH DAKOTA	"Rapid City, South Dakota, United States"			Host a visit	Verbal Conflict	-0.2519	http://www.yankton.net/life/article_0746706c-9a8e-11e7-957f-4364a5eb1d36.html
"Rapid City, South Dakota, United States"	12.8744	123.891	UNITED STATES	"Watertown, South Dakota, United States"			"Express intent to cooperate, not specified below"	Verbal Conflict	-0.2519	http://www.yankton.net/life/article_0746706c-9a8e-11e7-957f-4364a5eb1d36.html
"Rapid City, South Dakota, United States"	10.0548	123.604	UNITED STATES	"Rapid City, South Dakota, United States"			Express intent to cooperate economically	Material Conflict	-0.2519	http://www.yankton.net/life/article_0746706c-9a8e-11e7-957f-4364a5eb1d36.html
"Rapid City, South Dakota, United States"	15.05	120.067	UNITED STATES	"Rapid City, South Dakota, United States"	SIOUX	"Rapid City, South Dakota, United States"	Express intent to cooperate economically	Verbal Cooperation	-0.2519	http://www.yankton.net/life/article_0746706c-9a8e-11e7-957f-4364a5eb1d36.html
