ActionGeo_Fullname (52)	ActionGeo_Lat (56)	ActionGeo_Long (57)	Actor1Name (6)	Actor1Geo_Fullname (36)	Actor2Name (16)	Actor2Geo_Fullname (44)	EventCode (26)	QuadClass  (29)	AvgTone (34)	SourceURL (60)
"Abuja, Abuja Federal Capital Territory, Nigeria"	54	-4	NIGERIA	"Abuja, Abuja Federal Capital Territory, Nigeria"	UNITED STATES OF AMERICA	"Abuja, Abuja Federal Capital Territory, Nigeria"	Praise or endorse	Verbal Cooperation	-0.641	http://punchng.com/buhari-returns-to-london-next-week-presidency/
"London, London, City of, United Kingdom"	55.65	-2.25	NIGERIAN	"Abuja, Abuja Federal Capital Territory, Nigeria"	UNITED KINGDOM	"London, London, City of, United Kingdom"	"Make statement, not specified below"	Material Conflict	-0.641	http://punchng.com/buhari-returns-to-london-next-week-presidency/
"Abuja, Abuja Federal Capital Territory, Nigeria"	37.669	-84.6514	NIGERIAN	"London, London, City of, United Kingdom"	UNITED KINGDOM	"London, London, City of, United Kingdom"	"Make statement, not specified below"	Material Cooperation	-0.641	http://punchng.com/buhari-returns-to-london-next-week-presidency/
"London, London, City of, United Kingdom"	51.5	-0.116667	PRESIDENT	"London, London, City of, United Kingdom"	UNITED NATIONS	"London, London, City of, United Kingdom"	Fight with artillery and tanks	Material Conflict	-0.641	http://punchng.com/buhari-returns-to-london-next-week-presidency/
"London, London, City of, United Kingdom"	54	-4	PRESIDENT	"London, London, City of, United Kingdom"	UNITED NATIONS	"New York, United States"	Praise or endorse	Verbal Cooperation	-0.641	http://punchng.com/buhari-returns-to-london-next-week-presidency/
"London, London, City of, United Kingdom"	55.65	-2.25	PRESIDENT	"London, London, City of, United Kingdom"	THE UN	"London, London, City of, United Kingdom"	"Consult, not specified below"	Material Conflict	-0.641	http://punchng.com/buhari-returns-to-london-next-week-presidency/
"Abuja, Abuja Federal Capital Territory, Nigeria"	37.669	-84.6514	PRESIDENT	"New York, United States"	NIGERIA	"Abuja, Abuja Federal Capital Territory, Nigeria"	"Consult, not specified below"	Verbal Conflict	-0.641	http://punchng.com/buhari-returns-to-london-next-week-presidency/
"New York, United States"	37.669	-84.6514	UNITED KINGDOM	"London, London, City of, United Kingdom"	UNITED NATIONS	"New York, United States"	"Consult, not specified below"	Verbal Cooperation	-0.641	http://punchng.com/buhari-returns-to-london-next-week-presidency/
"London, London, City of, United Kingdom"	54	-4	UNITED KINGDOM	"London, London, City of, United Kingdom"	UNITED NATIONS	"London, London, City of, United Kingdom"	"Consult, not specified below"	Verbal Cooperation	-0.641	http://punchng.com/buhari-returns-to-london-next-week-presidency/
"London, London, City of, United Kingdom"	37.669	-84.6514	UNITED KINGDOM	"London, London, City of, United Kingdom"	THE UN	"London, London, City of, United Kingdom"	"Consult, not specified below"	Verbal Cooperation	-0.641	http://punchng.com/buhari-returns-to-london-next-week-presidency/
"New York, United States"	37.669	-84.6514	UNITED NATIONS	"New York, United States"	UNITED KINGDOM	"London, London, City of, United Kingdom"	"Consult, not specified below"	Verbal Cooperation	-0.641	http://punchng.com/buhari-returns-to-london-next-week-presidency/
